date,guardian,timesofindia,german,nyt,approval,event
3/12/2018,16,1,50,0,43,0
3/13/2018,20,2,61,0,43,0
3/14/2018,18,2,64,2,43,0
3/15/2018,16,1,63,3,43,0
3/16/2018,20,2,44,1,43,0
3/17/2018,17,1,29,6,43,0
3/18/2018,13,1,31,1,43,0
3/19/2018,18,2,123,5,43,0
3/20/2018,19,0,95,4,43,0
3/21/2018,23,1,61,5,43,0
3/22/2018,13,4,63,4,43,0
3/23/2018,20,1,66,4,43,0
3/24/2018,5,1,22,1,43,0
3/25/2018,11,1,31,1,43,0
3/26/2018,19,1,35,3,42,0
3/27/2018,18,3,43,3,42,0
3/28/2018,13,5,31,1,42,0
3/29/2018,21,1,44,0,42,0
3/30/2018,9,1,33,2,42,0
3/31/2018,10,0,16,1,42,0
4/1/2018,6,2,8,0,42,0
4/2/2018,10,1,20,1,42,0
4/3/2018,11,0,29,1,42,0
4/4/2018,7,1,28,2,42,0
4/5/2018,12,5,44,4,42,0
4/6/2018,8,0,21,2,42,0
4/7/2018,10,1,17,0,42,0
4/8/2018,12,0,10,0,42,0
4/9/2018,24,0,42,4,42,0
4/10/2018,20,0,40,1,42,0
4/11/2018,13,1,35,2,42,0
4/12/2018,10,1,34,1,42,0
4/13/2018,15,0,32,2,42,0
4/14/2018,8,0,10,0,42,0
4/15/2018,13,1,14,1,42,0
4/16/2018,14,2,29,1,42,0
4/17/2018,22,2,61,4,42,0
4/18/2018,17,5,65,2,42,0
4/19/2018,15,1,54,2,42,0
4/20/2018,17,0,28,3,42,0
4/21/2018,6,2,12,1,42,0
4/22/2018,8,1,9,1,42,0
4/23/2018,14,1,38,1,42,0
4/24/2018,25,0,32,2,42,0
4/25/2018,18,1,17,4,42,0
4/26/2018,19,1,26,2,42,0
4/27/2018,10,0,45,2,42,0
4/28/2018,7,0,7,1,42,0
4/29/2018,15,3,22,1,42,0
4/30/2018,16,4,50,1,42,0
5/1/2018,17,1,22,3,42,0
5/2/2018,20,2,117,0,43,0
5/3/2018,17,0,58,2,43,0
5/4/2018,13,2,26,1,43,0
5/5/2018,6,1,15,1,43,0
5/6/2018,15,0,13,0,43,0
5/7/2018,9,0,12,1,43,0
5/8/2018,15,1,19,2,43,0
5/9/2018,14,0,17,2,43,0
5/10/2018,15,0,26,1,43,0
5/11/2018,13,2,36,3,43,0
5/12/2018,9,2,17,0,43,0
5/13/2018,20,0,7,1,44,0
5/14/2018,19,3,28,1,44,0
5/15/2018,16,0,55,0,44,0
5/16/2018,21,2,34,0,44,0
5/17/2018,17,2,39,1,44,0
5/18/2018,18,2,25,0,44,0
5/19/2018,10,2,28,0,44,0
5/20/2018,15,0,7,0,43,0
5/21/2018,21,1,14,2,43,0
5/22/2018,21,0,49,2,43,0
5/23/2018,19,0,52,2,43,0
5/24/2018,16,4,30,1,43,0
5/25/2018,14,0,37,3,43,0
5/26/2018,12,1,17,0,43,0
5/27/2018,17,0,15,0,43,0
5/28/2018,11,2,19,2,40,0
5/29/2018,14,0,24,2,40,0
5/30/2018,7,1,34,1,40,0
5/31/2018,12,0,26,0,40,0
6/1/2018,16,2,39,1,40,0
6/2/2018,6,1,28,1,40,0
6/3/2018,18,0,20,2,40,0
6/4/2018,12,2,44,1,44,0
6/5/2018,17,0,33,0,44,0
6/6/2018,27,2,34,2,44,0
6/7/2018,20,4,59,1,44,0
6/8/2018,20,0,65,3,44,0
6/9/2018,9,0,5,0,44,0
6/10/2018,10,1,17,0,44,0
6/11/2018,21,0,46,3,43,0
6/12/2018,19,3,65,5,43,0
6/13/2018,24,3,66,1,43,0
6/14/2018,19,0,30,1,43,0
6/15/2018,26,0,24,0,43,0
6/16/2018,15,3,8,0,43,0
6/17/2018,18,2,36,0,43,0
6/18/2018,19,2,55,4,43,0
6/19/2018,19,2,49,1,44,0
6/20/2018,21,2,40,2,44,0
6/21/2018,22,2,48,2,44,0
6/22/2018,20,3,62,5,44,0
6/23/2018,8,4,65,1,44,0
6/24/2018,17,4,32,2,44,0
6/25/2018,21,2,51,0,43,0
6/26/2018,26,4,57,1,43,0
6/27/2018,19,0,39,2,43,0
6/28/2018,17,0,58,1,43,0
6/29/2018,24,4,44,3,43,0
6/30/2018,17,0,29,0,43,0
7/1/2018,17,1,20,1,43,0
7/2/2018,17,2,40,0,43,0
7/3/2018,18,2,26,0,41,0
7/4/2018,19,0,37,2,41,0
7/5/2018,21,7,74,3,41,0
7/6/2018,22,2,114,3,41,1
7/7/2018,14,1,39,0,41,0
7/8/2018,20,2,75,0,42,1
7/9/2018,29,9,292,7,42,1
7/10/2018,34,5,168,9,41,0
7/11/2018,29,6,53,6,41,0
7/12/2018,30,7,136,11,41,0
7/13/2018,23,6,158,21,41,0
7/14/2018,15,5,33,4,41,0
7/15/2018,22,4,75,3,41,0
7/16/2018,19,3,76,2,42,0
7/17/2018,26,3,115,7,42,0
7/18/2018,32,2,73,1,42,0
7/19/2018,23,3,55,2,42,0
7/20/2018,21,2,50,4,42,0
7/21/2018,15,0,24,2,42,0
7/22/2018,19,2,38,1,42,0
7/23/2018,17,2,87,2,42,0
7/24/2018,21,1,52,0,42,0
7/25/2018,18,0,50,1,42,0
7/26/2018,16,0,31,1,42,0
7/27/2018,22,1,24,1,42,0
7/28/2018,10,2,11,1,42,0
7/29/2018,20,0,7,0,42,0
7/30/2018,15,3,48,4,42,0
7/31/2018,24,1,33,3,42,0
8/1/2018,19,2,27,0,42,0
8/2/2018,21,0,64,2,42,0
8/3/2018,16,1,61,2,42,0
8/4/2018,8,0,4,0,42,0
8/5/2018,14,1,16,0,42,0
8/6/2018,15,1,31,0,42,0
8/7/2018,17,0,22,0,42,0
8/8/2018,11,2,29,4,42,0
8/9/2018,19,0,57,1,42,0
8/10/2018,13,1,40,1,42,0
8/11/2018,13,0,10,0,42,0
8/12/2018,18,0,16,0,42,0
8/13/2018,8,0,25,0,43,0
8/14/2018,13,0,34,0,43,0
8/15/2018,11,0,23,3,43,0
8/16/2018,8,0,16,1,43,0
8/17/2018,8,2,16,3,43,0
8/18/2018,13,0,9,0,43,0
8/19/2018,15,0,27,1,43,0
8/20/2018,15,0,32,0,41,0
8/21/2018,16,0,34,2,41,0
8/22/2018,10,1,28,1,41,0
8/23/2018,20,1,59,4,41,0
8/24/2018,10,4,33,2,41,0
8/25/2018,6,3,12,0,41,0
8/26/2018,11,0,21,1,41,0
8/27/2018,10,2,33,1,41,0
8/28/2018,20,1,57,1,42,0
8/29/2018,15,0,67,3,42,0
8/30/2018,16,1,55,0,42,0
8/31/2018,12,0,36,1,42,0
9/1/2018,8,0,10,1,42,0
9/2/2018,20,1,51,0,42,0
9/3/2018,17,3,33,1,42,0
9/4/2018,11,2,31,3,43,0
9/5/2018,13,1,55,1,43,0
9/6/2018,21,0,27,0,43,0
9/7/2018,19,2,55,1,43,0
9/8/2018,15,1,24,0,43,0
9/9/2018,17,2,30,1,43,0
9/10/2018,30,2,86,0,43,0
9/11/2018,27,6,95,2,43,0
9/12/2018,31,3,53,5,43,0
9/13/2018,25,4,58,0,43,0
9/14/2018,18,0,46,1,43,0
9/15/2018,13,1,16,1,43,0
9/16/2018,19,3,47,1,43,0
9/17/2018,22,8,112,3,43,0
9/18/2018,22,5,97,4,40,0
9/19/2018,24,2,119,2,40,0
9/20/2018,29,6,155,2,40,0
9/21/2018,25,5,106,3,42,0
9/22/2018,14,5,45,1,42,0
9/23/2018,27,1,64,2,42,0
9/24/2018,31,6,109,4,42,0
9/25/2018,22,5,92,1,42,0
9/26/2018,19,2,95,3,42,0
9/27/2018,22,0,56,3,42,0
9/28/2018,26,2,57,1,42,0
9/29/2018,22,1,43,0,42,0
9/30/2018,23,2,67,3,42,0
10/1/2018,19,4,87,2,42,0
10/2/2018,26,3,134,2,42,0
10/3/2018,24,5,79,3,42,0
10/4/2018,20,2,52,2,42,0
10/5/2018,20,1,49,4,42,0
10/6/2018,13,1,28,0,42,0
10/7/2018,25,1,39,0,42,0
10/8/2018,20,2,51,1,40,0
10/9/2018,30,1,91,0,40,0
10/10/2018,24,2,97,1,40,0
10/11/2018,23,1,69,1,40,0
10/12/2018,16,0,76,2,40,0
10/13/2018,17,0,38,0,40,0
10/14/2018,21,2,65,1,40,0
10/15/2018,29,3,142,6,40,0
10/16/2018,21,6,189,8,40,0
10/17/2018,28,3,285,4,40,0
10/18/2018,29,2,210,3,41,0
10/19/2018,20,0,92,2,41,0
10/20/2018,15,1,67,1,41,0
10/21/2018,23,4,74,0,41,0
10/22/2018,18,2,102,2,41,0
10/23/2018,22,0,79,0,41,0
10/24/2018,23,1,90,1,41,0
10/25/2018,26,0,93,2,41,0
10/26/2018,19,0,84,3,41,0
10/27/2018,8,0,22,0,41,0
10/28/2018,21,0,32,1,41,0
10/29/2018,30,3,69,1,41,0
10/30/2018,24,1,83,2,41,0
10/31/2018,20,0,66,3,41,0
11/1/2018,20,0,141,2,41,0
11/2/2018,20,0,53,4,41,0
11/3/2018,9,2,29,0,41,0
11/4/2018,23,1,50,0,41,0
11/5/2018,17,1,81,1,41,0
11/6/2018,30,1,82,2,41,0
11/7/2018,18,0,73,2,41,0
11/8/2018,27,0,54,1,41,0
11/9/2018,17,1,99,2,41,0
11/10/2018,12,1,15,0,41,0
11/11/2018,17,1,33,0,41,0
11/12/2018,24,4,114,1,41,0
11/13/2018,22,2,199,5,41,0
11/14/2018,24,2,393,10,41,1
11/15/2018,39,10,487,14,40,1
11/16/2018,28,8,233,10,40,0
11/17/2018,16,1,59,3,40,0
11/18/2018,30,2,95,4,40,0
11/19/2018,25,3,189,2,41,0
11/20/2018,28,2,163,5,41,0
11/21/2018,28,2,119,6,41,0
11/22/2018,35,1,219,2,41,0
11/23/2018,14,3,111,1,41,0
11/24/2018,22,3,125,1,41,0
11/25/2018,23,3,202,5,41,0
11/26/2018,26,4,170,7,42,0
11/27/2018,28,4,95,4,42,0
11/28/2018,37,2,144,2,42,0
11/29/2018,33,4,78,4,42,0
11/30/2018,24,0,49,3,42,0
12/1/2018,11,1,24,0,42,1
12/2/2018,24,1,16,0,42,0
12/3/2018,22,0,88,3,38,0
12/4/2018,33,1,194,3,38,0
12/5/2018,28,2,131,4,38,0
12/6/2018,26,5,101,4,38,0
12/7/2018,33,0,66,3,38,0
12/8/2018,17,1,37,0,38,0
12/9/2018,24,3,87,5,38,0
12/10/2018,34,3,305,9,38,0
12/11/2018,27,1,283,14,38,0
12/12/2018,32,6,373,10,41,0
12/13/2018,35,2,304,12,41,0
12/14/2018,23,1,167,5,41,0
12/15/2018,10,1,57,1,41,0
12/16/2018,14,3,64,4,41,0
12/17/2018,32,1,142,4,41,0
12/18/2018,26,2,151,6,41,0
12/19/2018,33,4,113,8,41,0
12/20/2018,22,2,59,5,41,0
12/21/2018,2,1,31,2,40,0
12/22/2018,10,1,40,1,40,0
12/23/2018,30,1,58,1,40,0
12/24/2018,9,0,36,2,40,0
12/25/2018,3,0,21,0,40,0
12/26/2018,8,0,39,3,40,0
12/27/2018,14,0,44,1,40,0
12/28/2018,17,1,92,1,40,0
12/29/2018,15,0,31,0,40,0
12/30/2018,20,1,71,1,40,0
12/31/2018,16,0,75,4,40,0
1/1/2019,12,0,54,0,40,0
1/2/2019,19,0,59,0,40,0
1/3/2019,20,1,103,0,40,0
1/4/2019,27,1,74,3,40,0
1/5/2019,11,0,27,1,40,0
1/6/2019,18,4,61,1,39,0
1/7/2019,30,6,110,0,39,0
1/8/2019,37,3,115,3,39,0
1/9/2019,33,2,152,4,39,0
1/10/2019,28,4,133,3,39,0
1/11/2019,26,0,121,2,39,0
1/12/2019,16,0,64,2,39,0
1/13/2019,19,0,139,1,39,0
1/14/2019,33,0,340,5,39,0
1/15/2019,38,6,533,17,39,1
1/16/2019,49,3,554,17,40,0
1/17/2019,29,4,273,10,40,0
1/18/2019,26,1,200,5,41,0
1/19/2019,18,1,82,3,41,0
1/20/2019,32,4,169,0,41,0
1/21/2019,32,5,360,3,41,0
1/22/2019,35,4,254,8,41,0
1/23/2019,23,0,208,6,41,0
1/24/2019,25,2,138,1,41,0
1/25/2019,25,2,186,4,41,0
1/26/2019,15,2,49,0,41,0
1/27/2019,21,0,73,1,41,0
1/28/2019,26,5,164,4,41,0
1/29/2019,38,4,349,10,41,0
1/30/2019,37,5,337,7,41,0
1/31/2019,24,1,128,9,41,0
2/1/2019,24,2,86,3,41,0
2/2/2019,20,0,48,1,41,0
2/3/2019,20,4,73,4,39,0
2/4/2019,18,0,99,1,39,0
2/5/2019,30,1,102,0,39,0
2/6/2019,23,1,135,4,39,0
2/7/2019,24,6,246,8,39,0
2/8/2019,25,1,87,1,39,0
2/9/2019,14,1,62,0,39,0
2/10/2019,21,1,101,1,39,0
2/11/2019,30,2,158,3,39,0
2/12/2019,29,3,159,4,39,0
2/13/2019,33,0,96,3,39,0
2/14/2019,27,2,126,7,39,0
2/15/2019,17,3,105,5,39,0
2/16/2019,17,1,39,1,39,0
2/17/2019,21,1,57,1,39,0
2/18/2019,36,1,164,8,39,0
2/19/2019,20,2,82,3,39,0
2/20/2019,24,1,128,5,39,0
2/21/2019,19,3,90,3,39,0
2/22/2019,26,1,93,2,40,0
2/23/2019,15,1,48,2,40,0
2/24/2019,17,4,64,2,40,0
2/25/2019,28,3,195,7,40,0
2/26/2019,35,5,316,9,40,0
2/27/2019,26,4,259,4,40,0
2/28/2019,25,2,248,2,40,0
3/1/2019,25,0,90,1,40,0
3/2/2019,10,0,74,1,40,0
3/3/2019,21,1,65,2,40,0
3/4/2019,20,1,105,3,40,0
3/5/2019,28,4,133,4,40,0
3/6/2019,25,3,110,3,40,0
3/7/2019,25,0,132,2,40,0
3/8/2019,29,4,112,3,40,0
3/9/2019,22,0,42,2,40,0
3/10/2019,22,1,57,1,40,0
3/11/2019,25,2,185,5,40,0
3/12/2019,25,6,356,12,40,1
